DISTRICT,PER CAPITA INCOME (USD)
Ramechhap,951.00
Gorkha,1039.00
Saptari,801.00
Siraha,689.00
Rautahat,757.00
Lamjung,1186.00
Rasuwa,1520.00
Dhading,982.00
Kabhrepalanchok,1399.00
Dolakha,922.00
Nuwakot,1086.00
Okhaldhunga,957.00
Parbat,1013.00
Kaski,1561.00
Bara,1480.00
Bhaktapur,1379.00
Lalitpur,1894.00
Parsa,1223.00
Khotang,1132.00
Tanahu,1072.00
Sarlahi,809.00
Myagdi,1028.00
Sindhuli,822.00
Chitawan,1537.00
Syangja,1215.00
Sindhupalchok,1110.00
Dhanusha,938.00
Mahottari,681.00
Udayapur,920.00
Morang,1251.00
Darchula,627.00
Dhankuta,1257.00
Baitadi,573.00
Solukhumbu,1841.00
Baglung,868.00
Salyan,786.00
Arghakhanchi,909.00
Kathmandu,2764.00
Sankhuwasabha,1193.00
Rukum,782.00
Banke,1133.00
Sunsari,1104.00
Bhojpur,999.00
Rupandehi,1123.00
Palpa,985.00
Panchthar,1082.00
Gulmi,752.00
Makawanpur,1410.00
Tehrathum,1419.00
Dailekh,684.00
Ilam,1260.00
Dadeldhura,764.00
Nawalparasi,1157.00
Kapilbastu,990.00
Dang,1127.00
Jhapa,1226.00
Surkhet,911.00
Bardiya,1086.00
Achham,536.00
Kanchanpur,938.00
Doti,774.00
Kailali,942.00
Jajarkot,611.00
Rolpa,643.00
Taplejung,1313.00
Mugu,866.00
Bajhang,487.00
Mustang,1922.00
Manang,3166.00
Pyuthan,681.00
Humla,794.00
Bajura,523.00
Kalikot,578.00
Jumla,1007.00
Dolpa,1040.00
