NEIGHBORHOOD,GENDER,POPULATION
Bannigadhi Jayagadh,female,9864
Bannigadhi Jayagadh,male,7562
Chaurpati,female,14018
Chaurpati,male,11197
Dhakari,female,11181
Dhakari,male,10389
Kamalbazar,female,12692
Kamalbazar,male,11078
Khaptad National Park,female,0
Khaptad National Park,male,0
Mangalsen,female,12692
Mangalsen,male,11078
Mellekh,female,13142
Mellekh,male,11586
Panchdeval Binayak,female,14626
Panchdeval Binayak,male,12869
Ramaroshan,female,13057
Ramaroshan,male,12115
Sanphebagar,female,18315
Sanphebagar,male,15813
Turmakhand,female,12925
Turmakhand,male,11857
Bhumikasthan,female,18705
Bhumikasthan,male,13935
Chhatradev,female,14964
Chhatradev,male,10379
Malarani,female,16175
Malarani,male,11869
Panini,female,15280
Panini,male,11152
Sandhikharka,female,22836
Sandhikharka,male,18936
Shitganga,female,23406
Shitganga,male,19995
Badigad,female,17315
Badigad,male,13591
Baglung,female,32544
Baglung,male,26726
Bareng,female,8328
Bareng,male,6183
Dhorpatan Hunting Reserve,female,0
Dhorpatan Hunting Reserve,male,0
Dhorpatan,female,14477
Dhorpatan,male,11961
Galkot,female,18877
Galkot,male,14453
Jaimini,female,18375
Jaimini,male,13694
Kathekhola,female,15027
Kathekhola,male,11069
Nisikhola,female,13047
Nisikhola,male,10278
Tamankhola,female,5982
Tamankhola,male,4677
Tarakhola,female,6644
Tarakhola,male,5365
Dasharath Chand,female,18884
Dasharath Chand,male,16327
Dilasaini,female,11934
Dilasaini,male,10990
Dogadakedar,female,13412
Dogadakedar,male,11220
Melauli,female,12111
Melauli,male,10434
Pancheshwor,female,10282
Pancheshwor,male,8484
Patan,female,16450
Patan,male,14006
Purchaudi,female,20151
Purchaudi,male,19039
Shivanath,female,9050
Shivanath,male,8065
Sigas,female,11139
Sigas,male,10371
Surnaya,female,10078
Surnaya,male,8471
Bitthadchir,female,9036
Bitthadchir,male,9036
Bungal,female,17008
Bungal,male,16216
Chhabis Pathibhera,female,8617
Chhabis Pathibhera,male,7679
Durgathali,female,7057
Durgathali,male,5923
Jayaprithvi,female,11545
Jayaprithvi,male,11008
Kedarsyun,female,11261
Kedarsyun,male,10055
Khaptad National Park,female,0
Khaptad National Park,male,0
Khaptadchhanna,female,8743
Khaptadchhanna,male,7160
Masta,female,7840
Masta,male,7111
Saipal,female,1076
Saipal,male,1117
Surma,female,4475
Surma,male,4558
Talkot,female,6016
Talkot,male,5553
Thalara,female,9691
Thalara,male,8287
Badimalika,female,8181
Badimalika,male,9078
Budhiganga,female,11705
Budhiganga,male,9995
Budhinanda,female,9426
Budhinanda,male,9457
Gaumul,female,4349
Gaumul,male,4166
Himali,female,4589
Himali,male,4640
Jagannath,female,4781
Jagannath,male,4651
Khaptad Chhededaha,female,9783
Khaptad Chhededaha,male,8958
Khaptad National Park,female,0
Khaptad National Park,male,0
Swamikartik Khapar,female,6560
Swamikartik Khapar,male,6230
Triveni,female,9732
Triveni,male,8631
Baijanath,female,29079
Baijanath,male,25908
Duduwa,female,18184
Duduwa,male,19349
Janaki,female,18406
Janaki,male,19441
Khajura,female,27460
Khajura,male,23530
Kohalpur,female,37090
Kohalpur,male,35658
Narainapur,female,16964
Narainapur,male,18078
Nepalgunj Sub-Metropolitan City,female,68513
Nepalgunj Sub-Metropolitan City,male,72728
Rapti Sonari,female,31362
Rapti Sonari,male,29563
Aadarsha Kotwal,female,13376
Aadarsha Kotwal,male,14176
Baragadhi,female,13352
Baragadhi,male,13839
Bishrampur,female,11238
Bishrampur,male,12576
Devtal,female,11115
Devtal,male,12108
Jitpur Simara,female,58444
Jitpur Simara,male,59954
Kalaiya,female,59384
Kalaiya,male,63979
Karaiyamai,female,13012
Karaiyamai,male,13484
Kolhabi,female,22730
Kolhabi,male,21352
Mahagadhimai,female,25518
Mahagadhimai,male,26878
Nijgadh,female,18311
Nijgadh,male,17092
Pacharauta,female,16635
Pacharauta,male,17559
Parsa Wildlife Reserve,female,0
Parsa Wildlife Reserve,male,0
Parwanipur,female,10873
Parwanipur,male,11914
Pheta,female,12487
Pheta,male,13166
Prasauni,female,12177
Prasauni,male,12872
Simraungadh,female,23555
Simraungadh,male,25015
Suwarna,female,14257
Suwarna,male,15280
Badhaiyatal,female,25581
Badhaiyatal,male,22367
Bansgadhi,female,29573
Bansgadhi,male,26302
Barbardiya,female,35358
Barbardiya,male,32673
Bardiya National Park,female,0
Bardiya National Park,male,0
Geruwa,female,18443
Geruwa,male,16442
Gulariya,female,33310
Gulariya,male,34854
Madhuban,female,25026
Madhuban,male,21656
Rajapur,female,30652
Rajapur,male,29166
Thakurbaba,female,23553
Thakurbaba,male,21620
Bhaktapur,female,40980
Bhaktapur,male,42678
Changunarayan,female,28547
Changunarayan,male,29459
Madhyapur Thimi,female,40632
Madhyapur Thimi,male,43510
Suryabinayak,female,39608
Suryabinayak,male,39237
Aamchok,female,9712
Aamchok,male,9065
Arun,female,9563
Arun,male,8205
Bhojpur,female,14560
Bhojpur,male,13547
Hatuwagadhi,female,10924
Hatuwagadhi,male,9619
Pauwadungma,female,8277
Pauwadungma,male,7137
Ramprasad Rai,female,10111
Ramprasad Rai,male,8783
Sadananda,female,16685
Sadananda,male,14927
Salpasilichho,female,6846
Salpasilichho,male,6265
Temkemaiyung,female,9728
Temkemaiyung,male,8505
Bharatpur,female,147656
Bharatpur,male,137511
Chitawan National Park_makwanpur,female,0
Chitawan National Park_makwanpur,male,0
Ichchhyakamana,female,12560
Ichchhyakamana,male,12507
Kalika_chitawan,female,22567
Kalika_chitawan,male,22331
Khairahani,female,30177
Khairahani,male,26748
Madi,female,20826
Madi,male,16938
Rapti,female,30464
Rapti,male,29473
Ratnanagar,female,36647
Ratnanagar,male,33579
Aalital,female,9585
Aalital,male,8946
Ajayameru,female,9172
Ajayameru,male,7894
Amargadhi,female,11278
Amargadhi,male,10963
Bhageshwor,female,7401
Bhageshwor,male,6731
Ganyapdhura,female,8548
Ganyapdhura,male,6561
Navadurga,female,11354
Navadurga,male,8631
Parashuram,female,18200
Parashuram,male,16830
Aathbis,female,14751
Aathbis,male,14506
Bhagawatimai,female,9782
Bhagawatimai,male,8996
Bhairavi,female,10793
Bhairavi,male,10440
Chamunda Bindrasaini,female,13089
Chamunda Bindrasaini,male,13060
Dullu,female,21659
Dullu,male,19881
Dungeshwor,female,8330
Dungeshwor,male,7553
Gurans,female,11358
Gurans,male,10675
Mahabu,female,10344
Mahabu,male,8933
Narayan,female,14410
Narayan,male,13512
Naumule,female,10757
Naumule,male,10045
Thantikandh,female,9507
Thantikandh,male,9389
